teamname,title,slide,github,movie,thumbnail
チーム1,星空フォトウエディング,https://github.com/code4fukui/team1/raw/main/slide.pdf,https://github.com/code4fukui/team1,https://code4fukui.github.io/hackathon/20220716/team1.mov,https://code4fukui.github.io/hackathon/20220716/team1.mov.jpg
チーム2,ミケツ,https://github.com/code4fukui/fukui-kanko-hack/raw/master/%E3%83%9F%E3%82%B1%E3%83%84.pdf,https://github.com/code4fukui/fukui-kanko-hack,https://code4fukui.github.io/hackathon/20220716/team2.mov,https://code4fukui.github.io/hackathon/20220716/team2.mov.jpg
チーム3,ふくフォト,https://github.com/code4fukui/202207-hackathon-team3/raw/master/slide/slide-team3.pdf,https://github.com/code4fukui/202207-hackathon-team3,https://code4fukui.github.io/hackathon/20220716/team3.mov,https://code4fukui.github.io/hackathon/20220716/team3.mov.jpg
チーム4,キャンプパス,https://github.com/code4fukui/fukui-camp-pass/raw/master/4%E7%8F%AD%20Camp%20pass.pdf,https://github.com/code4fukui/fukui-camp-pass,https://code4fukui.github.io/hackathon/20220716/team4.mov,https://code4fukui.github.io/hackathon/20220716/team4.mov.jpg
チーム5,まるてつ,https://github.com/code4fukui/fukui_old_train/raw/main/%E5%9C%B0%E5%9F%9F%E6%B4%BB%E6%80%A7%E5%8C%96%E3%83%8F%E3%83%83%E3%82%AB%E3%82%BD%E3%83%B3.pptx.pdf,https://github.com/code4fukui/fukui_old_train,https://code4fukui.github.io/hackathon/20220716/team5.mov,https://code4fukui.github.io/hackathon/20220716/team5.mov.jpg
チーム6,福クル,https://github.com/code4fukui/fukui-kanko-hackathon-20220716/raw/master/%E7%A6%8F%E3%82%AF%E3%83%AB.pdf,https://github.com/code4fukui/fukui-kanko-hackathon-20220716,https://code4fukui.github.io/hackathon/20220716/team6.mov,https://code4fukui.github.io/hackathon/20220716/team6.mov.jpg
チーム7,動く観光スポットふくモン,https://github.com/code4fukui/summer2022/raw/main/fukumon.pptx.pdf,https://github.com/code4fukui/summer2022,https://code4fukui.github.io/hackathon/20220716/team7.mov,https://code4fukui.github.io/hackathon/20220716/team7.mov.jpg
